sku;catalog_desc;id_product;similar_desc;elastic_score;normalize_score;preco_medio;categoria;marca;cor;atributo_1;atributo_2;atributo_3;atributo_4;atributo_5;atributo_6
GE238CL72HRVMOB-545758;ARMARIO MULTIUSO XANGAI 2 PT BRANCA;87773441;ARMARIO MULTIUSO XANGAI 2 PT BRANCA;32.515564;100.0;206.69;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;BRANCA;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE238CL72HRVMOB-545758;ARMARIO MULTIUSO XANGAI 2 PT BRANCA;110813368; ARMARIO MULTIUSO XANGAI 2 PT BRANCA;30.924587;100.0;133.99;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;BRANCA;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE238CL72HRVMOB-545758;ARMARIO MULTIUSO XANGAI 2 PT BRANCA;96869350; ARMARIO MULTIUSO XANGAI 2 PT PRETO;28.358635;87.21557159519054;131.48;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;PRETO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE238CL72HRVMOB-545758;ARMARIO MULTIUSO XANGAI 2 PT BRANCA;73476332;ARMARIO MULTIUSO XANGAI 2 PT PRETO;28.358635;87.21557159519054;195.44;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;PRETO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE238CL72HRVMOB-545758;ARMARIO MULTIUSO XANGAI 2 PT BRANCA;77893924;ARMARIO MULTIUSO XANGAI 2 PT BRUNNE;28.358635;87.21557159519054;149.51;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;BRUNNE;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE238CL72HRVMOB-545758;ARMARIO MULTIUSO XANGAI 2 PT BRANCA;128039715;ARMARIO MULTIUSO 2 PORTAS XANGAI;26.308039;80.90906557856417;245.72;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE238CL72HRVMOB-545758;ARMARIO MULTIUSO XANGAI 2 PT BRANCA;22246300;ARMARIO MULTIUSO 2 PORTAS XANGAI GENIALFLEX BRANCO;26.297459;80.87652731473457;228.59;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;GENIALFLEX;BRANCO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE238CL72HRVMOB-545758;ARMARIO MULTIUSO XANGAI 2 PT BRANCA;46482328;ARMARIO MULTIUSO XANGAI 2 PORTAS GENIAL BRANCO;26.297459;80.87652731473457;184.51;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;BRANCO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE238CL72HRVMOB-545758;ARMARIO MULTIUSO XANGAI 2 PT BRANCA;47527465;ARMARIO MULTIUSO STAR II 2 PT BRANCA;25.879465;79.5910075556432;274.85;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;BRANCA;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE238CL72HRVMOB-545758;ARMARIO MULTIUSO XANGAI 2 PT BRANCA;93454510;ARMARIO GENIAL MULTIUSO XANGAI 2 PORTAS BRANCO SV;25.585974;78.68839058119983;108.62;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;BRANCO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE995CL54TINMOB-948054;ARMARIO MULTIUSO XANGAI 2 PT PRETO;76772536;ARMARIO MULTIUSO XANGAI 2 PORTAS PRETO FOSCO GENIALFLEX;35.916954;100.0;234.83;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;GENIALFLEX;PRETO FOSCO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE995CL54TINMOB-948054;ARMARIO MULTIUSO XANGAI 2 PT PRETO;108875519;ARMARIO MULTIUSO CASAL XANGAI C 2 PORTAS PRETO GENIALFLEX;35.62083;99.1755314217347;282.96;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;GENIALFLEX;PRETO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE995CL54TINMOB-948054;ARMARIO MULTIUSO XANGAI 2 PT PRETO;96869350; ARMARIO MULTIUSO XANGAI 2 PT PRETO;33.345524;100.0;131.48;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;PRETO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE995CL54TINMOB-948054;ARMARIO MULTIUSO XANGAI 2 PT PRETO;73476332;ARMARIO MULTIUSO XANGAI 2 PT PRETO;33.345524;100.0;195.44;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;PRETO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
