catalog_sku,id_product,catalog_desc,similar_desc,elastic_score,normalized_score,catalog_preco_medio,preco_medio,catalog_categoria,categoria,catalog_marca,marca,catalog_cor,cor,catalog_atributo_1,atributo_1,catalog_atributo_2,atributo_2,catalog_atributo_3,atributo_3,catalog_atributo_4,atributo_4,catalog_atributo_5,atributo_5,catalog_atributo_6,atributo_6
7898602824031,95354630,GUARDA ROUPA CASAL COM ESPELHO 3 PORTAS DE CORRER FLORIDA ESPRESSO MOVEIS,GUARDA ROUPA CASAL 3 PORTAS 4 GAVETAS COM 8 PES TAIFA ESPRESSO MOVEIS CINAMOMOOFF WHITE,18.353735,100.0,1332.79,1315.78,GUARDA ROUPAS,GUARDA ROUPAS,ESPRESSO MOVEIS,ESPRESSO MOVEIS,BRANCO,MARROM BRANCO,SIM,NAO INFORMADO,MDP,NAO INFORMADO,NAO INFORMADO,SIM,208 CM X 188 CM X 54 CM,NAO INFORMADO,4,4,3,3
7898602825663,95354630,GUARDA ROUPA CASAL COM ESPELHO 3 PORTAS DE CORRER ILHEUS PREMIUM ESPRESSO MOVEIS,GUARDA ROUPA CASAL 3 PORTAS 4 GAVETAS COM 8 PES TAIFA ESPRESSO MOVEIS CINAMOMOOFF WHITE,18.353735,100.0,1450.37,1315.78,GUARDA ROUPAS,GUARDA ROUPAS,ESPRESSO MOVEIS,ESPRESSO MOVEIS,BRANCO,MARROM BRANCO,SIM,NAO INFORMADO,MDP,NAO INFORMADO,NAO INFORMADO,SIM,218 CM X 216 CM X 52 CM,NAO INFORMADO,4,4,3,3
7899001713445,103324502,GUARDA ROUPA CASAL 6 PORTAS 2 GAVETAS PARIS ESPRESSO MOVEIS,GUARDA ROUPA CASAL 6 PORTAS 2 GAVETAS SANTAREM ESPRESSO MOVEIS MARROCOSOFF WHITE,22.750252,100.0,699.98,719.76,GUARDA ROUPAS,GUARDA ROUPAS,ESPRESSO MOVEIS,ESPRESSO MOVEIS,BRANCO,BRANCO,NAO INFORMADO,NAO INFORMADO,MDP,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,205 CM X 178 CM X 47 CM,NAO INFORMADO,2,2,6,6
7908161530677,103084120,GUARDA ROUPA CASAL COM ESPELHO 3 PORTAS 4 GAVETAS 1885CM VIENA YESCASA,GUARDA ROUPA CASAL COM ESPELHO 3 PORTAS 4 GAVETAS 1885CM VIENA YESCASA BRANCO YESCASA,20.874115,100.0,959.98,957.66,GUARDA ROUPAS,GUARDA ROUPAS,YESCASA,YESCASA,BRANCO,BRANCO,NAO,SIM,MDP,NAO INFORMADO,SIM,NAO INFORMADO,"208CM X 185,5CM X 56CM",NAO INFORMADO,4,4,3,3
7908167227984,103265317,GUARDA ROUPA CASAL 3 PORTAS 1 ESPELHO 100 MDF LONDON YESCASA,GUARDA ROUPA CASAL 3 PORTAS 1 ESPELHO 100 MDF LONDON YESCASA BRANCO YESCASA,23.31543,100.0,1499.98,1445.33,GUARDA ROUPAS,GUARDA ROUPAS,YESCASA,YESCASA,BRANCO,BRANCO,SIM,SIM,MDF,MDF,NAO INFORMADO,NAO INFORMADO,235 CM X 218 CM X 56 CM,NAO INFORMADO,4,NAO INFORMADO,3,3
7908308742147,96395236,GUARDA ROUPA CASAL COM ESPELHO 3 PORTAS 6 GAVETAS VEGAS,GUARDA ROUPA CASAL COM ESPELHO 3 PORTAS 6 GAVETAS WOOD NOVO HORIZONTE BRANCO,18.803814,100.0,1899.98,1953.7,GUARDA ROUPAS,GUARDA ROUPAS,NOVO HORIZONTE,NOVO HORIZONTE,CUMARU FENDI,BRANCO,SIM,SIM,MDF,WOOD,NAO INFORMADO,NAO INFORMADO,"241,2 CM X 218 CM X 55,5 CM",NAO INFORMADO,6,6,3,3
7908308742277,88970882,GUARDA ROUPA 6 PORTAS 6 GAVETAS RENO NOVO HORIZONTE,GUARDA ROUPA CASAL 6 PORTAS E 6 GAVETAS C ESPELHO ROBUST PLUS BRANCO NOVO HORIZONTE,18.247643,100.0,1899.97,2620.98,GUARDA ROUPAS,GUARDA ROUPAS,NOVO HORIZONTE,NOVO HORIZONTE,CUMARU FENDI,BRANCO,NAO INFORMADO,SIM,MDF,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,"276,2 CM X 236,4 CM X 56,5 CM",NAO INFORMADO,6,6,NAO INFORMADO,6
7908308742420,88970882,GUARDA ROUPA 6 PORTAS 6 GAVETAS COM ESPELHO RENO NOVO HORIZONTE,GUARDA ROUPA CASAL 6 PORTAS E 6 GAVETAS C ESPELHO ROBUST PLUS BRANCO NOVO HORIZONTE,23.261724,100.0,2169.97,2620.98,GUARDA ROUPAS,GUARDA ROUPAS,NOVO HORIZONTE,NOVO HORIZONTE,BRANCO,BRANCO,SIM,SIM,MDF,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,"276,2 CM X 236,4 CM X 56,5 CM",NAO INFORMADO,6,6,6,6
7908308742451,88970882,GUARDA ROUPA 6 PORTAS 6 GAVETAS COM ESPELHO RENO NOVO HORIZONTE,GUARDA ROUPA CASAL 6 PORTAS E 6 GAVETAS C ESPELHO ROBUST PLUS BRANCO NOVO HORIZONTE,21.719452,100.0,2119.98,2620.98,GUARDA ROUPAS,GUARDA ROUPAS,NOVO HORIZONTE,NOVO HORIZONTE,CUMARU,BRANCO,SIM,SIM,MDF,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,"276,2 CM X 236,4 CM X 56,5 CM",NAO INFORMADO,6,6,6,6
7908308742543,83525289,GUARDA ROUPA 2 PORTAS 3 GAVETAS AVILA NOVO HORIZONTE,GUARDA ROUPA CASAL 2 PORTAS 4 GAVETAS ATENAS NOVO HORIZONTE BRANCO,19.304878,100.0,1229.98,1114.24,GUARDA ROUPAS,GUARDA ROUPAS,NOVO HORIZONTE,NOVO HORIZONTE,BRANCO,BRANCO,NAO,NAO INFORMADO,MDF,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,"236,4 CM X 162 CM X 55,5 CM",NAO INFORMADO,3,4,2,2
7908308743007,96395236,GUARDA ROUPA CASAL COM ESPELHO 3 PORTAS 6 GAVETAS MONTREAL NOVO HORIZONTE,GUARDA ROUPA CASAL COM ESPELHO 3 PORTAS 6 GAVETAS WOOD NOVO HORIZONTE BRANCO,21.594795,100.0,1599.98,1953.7,GUARDA ROUPAS,GUARDA ROUPAS,NOVO HORIZONTE,NOVO HORIZONTE,CUMARU FENDI,BRANCO,SIM,SIM,MDF,WOOD,NAO INFORMADO,NAO INFORMADO,"236,4 CM X 208,2 CM X 55,5 CM",NAO INFORMADO,6,6,3,3
